status,reason,symbol,optionTicker,side,fillPrice,occurredAt,provenanceSource,providerResultCount,recordedTradeAt,recordedTradePrice,recordedMarkPrice,firstProviderTradeAt,firstProviderTradePrice,recordedPriceExistsInTradeWindow,recordedTimestampWithin1ms,exactAggregateAt,exactAggregateClose,nearbyAggregateAt,nearbyAggregateClose,fillId,orderId,error
matched,"first provider trade, recorded price, and recorded timestamp match",AAPL,O:AAPL260406C00255000,buy,1.84,2026-04-02T14:50:00.000Z,polygon-option-trade,8,2026-04-02T14:50:11.269Z,1.84,1.95,2026-04-02T14:50:11.269Z,1.84,true,true,,,,,9b2b0b7c-46ac-4a3a-bc9c-29bbf2e297cf,7e21aa96-966f-4597-8588-d558487e5ada,
matched,"first provider trade, recorded price, and recorded timestamp match",AAPL,O:AAPL260406C00255000,sell,2.25,2026-04-02T15:14:00.000Z,polygon-option-trade,9,2026-04-02T15:14:02.609Z,2.25,2.19,2026-04-02T15:14:02.609Z,2.25,true,true,,,,,c6a8cf44-68cb-4d81-836f-3f7bbd6747ee,2db350eb-d580-40cf-8510-2e6de180443e,
matched,"first provider trade, recorded price, and recorded timestamp match",META,O:META260406C00570000,buy,7.6,2026-04-02T18:15:00.000Z,polygon-option-trade,2,2026-04-02T18:15:24.470Z,7.6,7.75,2026-04-02T18:15:24.470Z,7.6,true,true,,,,,50cd1e5c-cf2f-44be-9e8a-0eda801ddea2,bb63729a-e574-48b8-b739-224ffb1f707a,
matched,"first provider trade, recorded price, and recorded timestamp match",AMZN,O:AMZN260406C00210000,buy,1.56,2026-04-02T19:45:00.000Z,polygon-option-trade,7,2026-04-02T19:45:07.412Z,1.56,1.51,2026-04-02T19:45:07.412Z,1.56,true,true,,,,,f712837d-503b-46b9-9b1b-ae9d53dc5f13,69a6f9e4-1468-4357-aeb9-4452d8df9437,
matched,"first provider trade, recorded price, and recorded timestamp match",TSLA,O:TSLA260406C00355000,buy,8.04,2026-04-02T19:45:00.000Z,polygon-option-trade,4,2026-04-02T19:45:52.164Z,8.04,8.05,2026-04-02T19:45:52.164Z,8.04,true,true,,,,,aba902fe-a22d-499b-8abd-d786717a66b5,c1e0fb3f-7ca3-4cf3-b12d-f7e1b11db35e,
matched,"first provider trade, recorded price, and recorded timestamp match",TSLA,O:TSLA260406C00355000,sell,7.95,2026-04-02T19:59:00.000Z,polygon-option-trade,7,2026-04-02T19:59:06.148Z,7.95,8.05,2026-04-02T19:59:06.148Z,7.95,true,true,,,,,ce8e87b2-b68f-4833-b290-e1b5da88d7ab,061c15ce-1593-425e-84ef-2cebab6f8f33,
matched,"first provider trade, recorded price, and recorded timestamp match",META,O:META260406C00570000,sell,9.93,2026-04-06T13:30:00.000Z,polygon-option-trade,7,2026-04-06T13:30:04.603Z,9.93,10.44,2026-04-06T13:30:04.603Z,9.93,true,true,,,,,7ccd6930-f61d-43df-9e50-51af5d90c81c,b6ab8ad9-75b0-4a98-8862-caba77fcd7c9,
matched,"first provider trade, recorded price, and recorded timestamp match",AMZN,O:AMZN260406C00210000,sell,1.15,2026-04-06T13:30:00.000Z,polygon-option-trade,89,2026-04-06T13:30:00.180Z,1.15,1.4,2026-04-06T13:30:00.180Z,1.15,true,true,,,,,79d6d1f0-544a-42dd-a6f3-68ffa1026e70,fc79b2b5-3e2f-438b-85f1-5b77924ed6da,
matched,"first provider trade, recorded price, and recorded timestamp match",CLSK,O:CLSK260410C00009000,buy,0.36,2026-04-06T13:30:00.000Z,polygon-option-trade,7,2026-04-06T13:30:01.051Z,0.36,0.38,2026-04-06T13:30:01.051Z,0.36,true,true,,,,,ca46ac94-48d3-46b6-853b-e694dd9d1957,0246a464-22fb-46b9-83f7-79188863f47c,
matched,"first provider trade, recorded price, and recorded timestamp match",RKLB,O:RKLB260410C00067000,buy,3.6,2026-04-06T13:30:00.000Z,polygon-option-trade,2,2026-04-06T13:30:10.371Z,3.6,4,2026-04-06T13:30:10.371Z,3.6,true,true,,,,,057b35a6-0b86-4228-9d6d-068c4a8809fa,36dcab0c-3b78-4b47-93eb-9ea5b6d32362,
